DATE,Total Voice Traffic in Erlang 2G,Total Voice Traffic in Erlang 3G,Volte Traffic,Total DATA Traffic in GB 2G,Total DATA Traffic in GB 3G,Total DATA Traffic in GB 4G,Voice Erlang per node 2G,Voice Erlang per node 3G,Voice Erlang per node 4G,Data Traffic per Node in (GB) 2G,Data Traffic per Node in (GB) 3G,Data Traffic per Node in (GB) 4G,VLR Unique Count,Data VLR Count 2G,Data VLR Count 3G,Data VLR Count 4G,Busy Hour voice Traffic 2G,Busy Hour voice Traffic per node 3G,Busy Hour voice Traffic per node 2G,Busy Hour voice Traffic 3G,Total Voice Traffic(Erlang),Total Data Volume in (TB) ,3G Data Throughput(in Gbps),4G Data Throughput(in Gbps)
05-02-2019,149020,35061,,224,"16,529.51",,111.71,32.43,,0.2,15.3,,1098030,36365,51040,,,,,,,,,
06-02-2019,150801,33413,,220,"16,243.74",,113.04,30.91,,0.2,15,,1125649,37209,50869,,,,,,,,,
07-02-2019,150784,33505,,220,"16,357.85",,113.03,30.99,,0.2,15.1,,1148454,38412,51205,,,,,,,,,
08-02-2019,153814,33905,,234,"17,277.88",,115.3,31.36,,0.2,16,,,38291,49860,,,,,,,,,
09-02-2019,113216,29035,,232,"17,423.66",,84.87,26.86,,0.2,16.1,,,37678,49890,,,,,,,,,
10-02-2019,109300,27442,,230,"17,481.22",,81.93,25.39,,0.2,16.2,,1196940,37679,49708,,,,,,,,,
11-02-2019,136048,27351,,204,"16,408.13",,101.99,25.3,,0.2,15.2,,1211987,36020,49837,,,,,,,,,
12-02-2019,142415,32429,,203,"16,706.76",,,30,,0.2,15.5,,1228410,34635,49931,,,,,,,,,
13-02-2019,143644,32778,,230,"17,067.07",,107.68,30.32,,0.2,15.8,,1245005,38061,50589,,,,,,,,,
14-02-2019,149882,33464,,218,"17,216.30",,112.36,30.96,,0.2,15.9,,1263620,38160,50466,,,,,,,,,
15-02-2019,144079,33448,,221,"17,015.80",,108.01,30.94,,0.2,15.7,,1282008,37205,50654,,,,,,,,,
16-02-2019,126875,31056,,213,"16,839.35",,95.11,28.73,,0.2,15.6,,1297359,38167,49111,,,,,,,,,
17-02-2019,109158,28381,,224,"17,747.87",,81.83,26.25,,0.2,16.4,,1309104,36317,49315,,,,,,,,,
18-02-2019,127156,27809,,203,"16,680.42",,95.32,25.73,,0.2,15.4,,1321510,36714,49953,,,,,,,,,
19-02-2019,143933,32445,,225,"17,419.68",,107.9,30.01,,0.2,16.1,,1336400,37956,50301,,,,,,,,,
20-02-2019,154676,32742,,233,"17,397.29",,115.95,30.29,,0.2,16.1,,1350732,39248,50028,,,,,,,,,
21-02-2019,150373,32849,,225,"17,042.65",,112.72,30.39,,0.2,15.8,,1367287,39887,49789,,,,,,,,,
22-02-2019,149002,31878,,221,"17,426.31",,111.7,29.49,,0.2,16.1,,1381073,38398,49754,,,,,,,,,
23-02-2019,148432,31910,,225,"17,189.97",,111.27,29.52,,0.2,15.9,,,38687,50101,,,,,,,,,
24-02-2019,116622,28180,,217,"17,392.29",,87.42,26.07,,0.2,16.1,,1406747,37321,50493,,,,,,,,,
